,city,finalWorth,Lon,Lat
0,Abbeville,1.2,-89.5031368,34.5031591
1,Adel,7.4,-94.0185176,41.6174123
2,Afton,13.7,-94.9628672,36.6939077
3,Alexandria,9.6,-77.0470229,38.8051095
4,Alpine,1.9,-103.6628596,30.3602181
5,Annapolis,1.7,-76.492786,38.9786401
6,Arcadia,1.0,-118.0401497,34.1362075
7,Aspen,2.5,-106.8235606,39.1911128
8,Atherton,58.699999999999996,-87.3619627,39.6080931
9,Atlanta,67.9,-84.3902644,33.7489924
10,Audubon,1.4,-94.9106526,41.670205
11,Austin,271.0,-97.7436995,30.2711286
12,Aventura,2.2,-80.1392121,25.9564812
13,Bal Harbour,8.6,-95.5220513,29.5490715
14,Bedford,1.5,-97.1430671,32.844017
15,Belle Vernon,2.7,-79.8664356,40.1250725
16,Belvedere,1.2,-122.462699,37.8663951
17,Bentonville,116.4,-94.2088172,36.3728538
18,Berkeley,4.8,-122.272863,37.8708393
19,Bethesda,5.300000000000001,-77.0942447,38.9846816
20,Beverly Hills,50.9,-118.3963062,34.0696501
21,Bingham Farms,4.3,-83.2732643,42.515868
22,Birchwood,3.9,-91.5561191,45.6580886
23,Birmingham,3.2,-86.8024326,33.5206824
24,Bloomfield Hills,7.2,-83.2454883,42.583645
25,Bloomington,10.2,-86.5342881,39.1670396
26,Boca Raton,15.3,-80.0830984,26.3586885
27,Boston,36.4,-71.060511,42.3554334
28,Boulder,1.2,-105.270545,40.0149856
29,Bozeman,3.9,-111.044047,45.6794293
30,Branford,5.6,-82.9281833,29.9591183
31,Brookline,13.5,-71.1211635,42.3317642
32,Brookville,2.3,-73.5673482,40.8131553
33,Brownsville,3.3,-97.4984005,25.9015688
34,Bryn Mawr,14.8,-75.31734069085473,40.0238245
35,Burlingame,4.2,-122.3473099,37.5780965
36,Carmel,3.9,-86.1189257,39.9788017
37,Cary,15.8,-78.7812081,35.7882893
38,Charleston,7.1,-79.9399309,32.7884363
39,Chattanooga,1.1,-85.3094883,35.0457219
40,Chestnut Hill,3.4000000000000004,-71.1661647,42.3306529
41,Chevy Chase,10.5,-77.0771572,38.9942121
42,Chicago,64.4,-87.6244212,41.8755616
43,Cincinnati,1.6,-92.924648,40.6308548
